Comparison_group,Pair_ID,Pair_short,Pair_label,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Distance_from_CEN_midpoint_Mb,Site_class,FST_estimate,Jackknife_standard_error,FST_to_SE_ratio,n_jack,Run_status,Error_message
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:32200685-33200684,20.5,0-fold,0.0001591683757181,0.0004303468476286,0.3698606753951786,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:31200685-32200684,21.5,4-fold,0.0008569277497336,0.0003996742099304,2.144065662587604,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:31200685-32200684,21.5,0-fold,0.001212251809564,0.0006353898806518,1.9078865535605314,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:30200685-31200684,22.5,4-fold,0.0001519153914942,0.0003166365737349,0.4797784087361597,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:30200685-31200684,22.5,0-fold,0.0002066551791601,0.0003698308188069,0.5587830128024052,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:29200685-30200684,23.5,4-fold,0.0030552897337222,0.0013938651694545,2.19195500445564,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:29200685-30200684,23.5,0-fold,0.0010330731341933,0.0012265648375119,0.8422491030224705,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:28200685-29200684,24.5,4-fold,0.0704638363028301,0.0202682602301512,3.476560666909517,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:28200685-29200684,24.5,0-fold,0.0493537621317644,0.0164730305248847,2.9960341576013585,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,X,X:23393109-24393108,0.5,4-fold,0.0,0.0022587575637356,0.0,20,success,
