Analysis,Pair_ID,Pair_short,Pair_label,Comparison_group,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,Site_class,MalariaGEN_site_class_argument,Site_mask,FST_formula,FST_estimate,Jackknife_standard_error,n_jack,Run_status,Error_message,FST_to_SE_ratio
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:37200685-38200684,37200685,38200684,15000000,16000000,15.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0006553237305582,0.0002752029571016,20,success,,2.3812379687339846
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:37200685-38200684,37200685,38200684,15000000,16000000,15.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0,0.0004462904427552,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:36200685-37200684,36200685,37200684,16000000,17000000,16.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0008747325188383,0.0003265491562244,20,success,,2.678716212138047
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:36200685-37200684,36200685,37200684,16000000,17000000,16.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0006269715339049,0.0004271802728993,20,success,,1.467697769959282
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:35200685-36200684,35200685,36200684,17000000,18000000,17.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0009568951245651,0.0002779824515531,20,success,,3.4422860839556075
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:35200685-36200684,35200685,36200684,17000000,18000000,17.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0,0.0003091568556624,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:34200685-35200684,34200685,35200684,18000000,19000000,18.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0004996827352987,0.000542888736723,20,success,,0.9204146291833178
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:34200685-35200684,34200685,35200684,18000000,19000000,18.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.000128636113838,0.0007633658285058,20,success,,0.1685117528640105
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:33200685-34200684,33200685,34200684,19000000,20000000,19.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,5.609204982610479e-05,0.0004953934812887,20,success,,0.11322726669755284
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:33200685-34200684,33200685,34200684,19000000,20000000,19.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.002137144195506,0.0010707471546122,20,success,,1.9959373100365834
