Comparison_group,Pair_ID,Pair_short,Pair_label,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,N_population_1,N_population_2,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,FST0,FST4,Total_sites_available,N_sites_FST4,N_sites_FST0,Pair_order,FST4_above_0p05,FST0_above_0p05,Either_FST_above_0p05,FST4_class_specific,FST0_class_specific,FST4_joint_window,FST0_joint_window
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:16393109-17393108,16393109,17393108,7000000,8000000,7.5,1000000,0.014330212327249,0.0157440066571329,,9644,33912,1,False,False,False,0.0157440066571329,0.014330212327249,0.0157440066571329,0.014330212327249
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:15393109-16393108,15393109,16393108,8000000,9000000,8.5,1000000,0.1822146310940506,0.1174970648084609,,8592,29830,1,True,True,True,,,,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:14393109-15393108,14393109,15393108,9000000,10000000,9.5,1000000,0.2008783952759735,0.1593170788148027,,7287,24942,1,True,True,True,,,,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:13393109-14393108,13393109,14393108,10000000,11000000,10.5,1000000,0.0096221923274575,0.0160695454617446,,9597,34062,1,False,False,False,0.0160695454617446,0.0096221923274575,0.0160695454617446,0.0096221923274575
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:12393109-13393108,12393109,13393108,11000000,12000000,11.5,1000000,0.0016150383092021,0.001996017412457,,7262,24701,1,False,False,False,0.001996017412457,0.0016150383092021,0.001996017412457,0.0016150383092021
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:11393109-12393108,11393109,12393108,12000000,13000000,12.5,1000000,0.001661462197884,0.0008822653410062,,9421,33914,1,False,False,False,0.0008822653410062,0.001661462197884,0.0008822653410062,0.001661462197884
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:10393109-11393108,10393109,11393108,13000000,14000000,13.5,1000000,0.0006497266694211,0.0007879528391585,,7101,23410,1,False,False,False,0.0007879528391585,0.0006497266694211,0.0007879528391585,0.0006497266694211
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:9393109-10393108,9393109,10393108,14000000,15000000,14.5,1000000,0.0081949340833393,0.0038347424563843,,13600,44499,1,False,False,False,0.0038347424563843,0.0081949340833393,0.0038347424563843,0.0081949340833393
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:8393109-9393108,8393109,9393108,15000000,16000000,15.5,1000000,0.0119869063917879,0.0108774936500629,,7345,23518,1,False,False,False,0.0108774936500629,0.0119869063917879,0.0108774936500629,0.0119869063917879
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:7393109-8393108,7393109,8393108,16000000,17000000,16.5,1000000,0.0035621842112206,0.0029304474510122,,14991,49696,1,False,False,False,0.0029304474510122,0.0035621842112206,0.0029304474510122,0.0035621842112206
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:6393109-7393108,6393109,7393108,17000000,18000000,17.5,1000000,0.0005069431299401,0.0012977183315556,,11501,37169,1,False,False,False,0.0012977183315556,0.0005069431299401,0.0012977183315556,0.0005069431299401
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:5393109-6393108,5393109,6393108,18000000,19000000,18.5,1000000,1.0263447831029762e-05,0.0004102643539356,,11395,37847,1,False,False,False,0.0004102643539356,1.0263447831029762e-05,0.0004102643539356,1.0263447831029762e-05
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:4393109-5393108,4393109,5393108,19000000,20000000,19.5,1000000,8.536354170373772e-05,0.0012640043580025,,11599,37899,1,False,False,False,0.0012640043580025,8.536354170373772e-05,0.0012640043580025,8.536354170373772e-05
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:3393109-4393108,3393109,4393108,20000000,21000000,20.5,1000000,0.0035852030141228,0.0008977440141916,,6424,21945,1,False,False,False,0.0008977440141916,0.0035852030141228,0.0008977440141916,0.0035852030141228
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:2393109-3393108,2393109,3393108,21000000,22000000,21.5,1000000,0.00229374041204,0.0012707120068711,,12147,40663,1,False,False,False,0.0012707120068711,0.00229374041204,0.0012707120068711,0.00229374041204
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:1393109-2393108,1393109,2393108,22000000,23000000,22.5,1000000,0.0014538238741795,0.001178598065658,,13791,46192,1,False,False,False,0.001178598065658,0.0014538238741795,0.001178598065658,0.0014538238741795
